"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dare Ogunbowale","HOU","12.6","91.7","0.6","10.3","82.2","0.3","0.1","22.3"
"Ty Johnson","NYJ","9.1","88.2","0.6","9.2","82.2","0.4","0.3","22.3"
"Ty Montgomery","NE","17.5","70.9","0.3","15.3","118.9","0.3","0.2","22.1"
"Qadree Ollison","DAL","9.9","119.4","1.0","5.9","37.8","0.2","0.6","21.6"
"Royce Freeman","HOU","22.4","120.1","0.7","6.2","42.0","0.2","0.0","21.5"
"DeeJay Dallas","SEA","18.3","89.2","0.6","9.2","62.3","0.2","0.2","20.0"
"Gary Brightwell","NYG","24.5","99.7","0.8","6.2","44.3","0.1","0.1","19.4"
"Patrick Taylor Jr.","GB","0.0","112.8","1.0","3.0","20.4","0.1","0.3","19.4"
"Jermar Jefferson","DET","23.7","98.5","0.6","5.0","34.0","0.1","0.0","17.3"
"Darrynton Evans","CHI","21.9","94.8","0.6","4.8","35.1","0.1","0.0","17.0"
"Tony Jones Jr.","NO","26.4","106.5","0.5","4.4","31.2","0.1","0.1","17.0"
"Jonathan Williams","WAS","9.7","89.6","0.7","4.9","37.2","0.2","0.5","16.7"
"Trestan Ebner","CHI","9.8","75.0","0.6","6.0","46.2","0.2","0.1","16.5"
"Jerome Ford","CLE","8.5","74.4","0.6","5.1","36.1","0.2","0.1","15.4"
"Antonio Williams","NYG","3.7","81.2","0.7","3.6","27.8","0.1","0.2","15.3"
"Kene Nwangwu","MIN","21.4","82.8","0.6","3.8","23.8","0.1","0.1","14.9"
"Dwayne Washington","NO","16.8","71.8","0.5","4.7","35.8","0.2","0.1","14.8"
"Ty Chandler","MIN","16.0","76.4","0.3","6.6","43.5","0.1","0.1","14.6"
"Darwin Thompson","SEA","0.0","75.6","0.6","3.8","28.8","0.2","0.1","14.5"
"Jordan Mason","SF","13.9","72.3","0.6","3.9","23.3","0.1","0.1","13.5"
"Trenton Cannon","TEN","10.4","41.2","0.2","7.7","57.4","0.3","0.0","13.3"
"Rico Dowdle","DAL","16.0","64.9","0.4","4.4","34.7","0.2","0.1","12.9"
"Trayveon Williams","CIN","4.4","77.1","0.5","3.8","21.6","0.1","0.5","12.6"
"Kylin Hill","GB","13.0","50.0","0.0","9.0","67.0","0.0","0.0","11.7"
"Keaontay Ingram","ARI","20.6","84.6","0.2","2.6","18.9","0.0","0.1","11.7"
"Keith Smith","ATL","8.1","32.7","0.2","7.9","53.8","0.3","0.1","11.6"
"Demetric Felton Jr.","CLE","0.0","19.5","0.1","8.6","73.3","0.2","0.1","11.3"
"C.J. Ham","MIN","5.5","15.3","0.1","9.4","68.4","0.3","0.0","11.0"
