"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Phillip Dorsett II","HOU","22.7","285.3","1.5","0.0","0.0","0.0","0.1","37.2"
"Jamal Agnew","JAC","16.3","188.1","1.0","8.3","57.7","0.4","0.1","32.2"
"Amari Rodgers","GB","17.7","221.9","1.3","1.1","6.0","0.0","0.0","30.4"
"Noah Brown","DAL","17.3","212.2","1.4","0.0","0.0","0.0","0.1","29.8"
"Rashard Higgins","CAR","17.2","223.0","1.2","0.3","2.7","0.0","0.2","29.3"
"Tyler Johnson","HOU","19.9","216.5","1.2","0.0","0.0","0.0","0.1","28.8"
"Ben Skowronek","LAR","16.2","198.1","1.4","0.0","0.0","0.0","0.0","28.4"
"Jaylon Moore","JAC","16.8","202.8","1.3","0.0","0.0","0.0","0.0","28.2"
"Chris Moore","HOU","19.8","216.3","1.1","0.0","0.0","0.0","0.1","27.7"
"Demarcus Robinson","BAL","16.3","198.0","1.2","0.0","0.0","0.0","0.0","27.2"
"Dez Fitzpatrick","TEN","13.9","207.3","0.9","0.0","0.0","0.0","0.0","26.2"
"Marquise Goodwin","SEA","15.0","189.2","1.0","0.7","3.8","0.0","0.1","25.3"
"Laquon Treadwell","NE","12.7","186.2","1.1","0.0","0.0","0.0","0.0","25.3"
"Equanimeous St. Brown","CHI","13.5","197.1","0.9","0.0","0.0","0.0","0.1","25.3"
"Keke Coutee","IND","12.3","184.3","1.1","0.0","0.0","0.0","0.0","24.9"
"Kyle Philips","TEN","15.3","188.3","1.0","0.0","0.0","0.0","0.1","24.6"
"Cody Hollister","TEN","14.5","171.1","1.2","0.0","0.0","0.0","0.0","24.2"
"Marquez Callaway","NO","11.6","175.8","1.0","0.0","0.0","0.0","0.0","23.8"
"Tutu Atwell","LAR","13.6","169.8","1.2","0.0","0.0","0.0","0.2","23.7"
"Anthony Schwartz","CLE","12.6","166.5","1.0","1.1","6.8","0.0","0.1","23.6"
"Zach Pascal","PHI","12.8","161.6","1.2","0.3","1.8","0.0","0.0","23.5"
"Montrell Washington","DEN","12.6","166.9","1.1","0.0","0.0","0.0","0.0","23.2"
"Damiere Byrd","ATL","14.9","177.0","0.9","0.0","0.0","0.0","0.0","23.2"
"Kalif Raymond","DET","13.4","162.0","1.1","0.9","5.2","0.0","0.1","23.2"
"Trent Sherfield","MIA","14.2","169.5","1.1","0.0","0.0","0.0","0.1","23.1"
"Auden Tate","PHI","13.0","170.0","1.0","0.0","0.0","0.0","0.0","23.0"
"Dyami Brown","WAS","11.2","174.6","0.8","0.0","0.0","0.0","0.0","22.3"
"Jalen Reagor","MIN","12.9","141.5","0.9","1.0","5.7","0.0","0.1","20.4"
"DJ Turner","LV","12.1","145.0","1.0","0.0","0.0","0.0","0.0","20.2"
"Calvin Austin III","PIT","13.9","162.6","0.7","0.0","0.0","0.0","0.1","20.1"
"Lynn Bowden Jr.","NE","14.3","151.1","0.7","0.0","0.0","0.0","0.0","19.5"
"Deonte Harty","NO","8.1","112.3","0.8","4.3","30.0","0.1","0.1","19.2"
